yearSold,displayPrice
1995,63981.794871794875
1996,60728.529411764706
1997,68195.4
1998,85198.26865671642
1999,102056.71875
2000,118719.53125
2001,146058.5
2002,172971.40625
2003,194593.6507936508
2004,202150.0
2005,211431.0172413793
2006,233473.94382022473
2007,250447.34523809524
2008,302095.9459459459
2009,261852.63888888888
2010,280930.8510638298
2011,304442.1052631579
2012,260715.825
2013,290254.03225806454
2014,355753.9692307692
2015,318441.40625
2016,401409.649122807
2017,425698.07692307694
2018,381996.4285714286
2019,339256.1525423729
2020,396877.2727272727
2021,397135.50724637683
2022,415970.3703703704
2023,365176.4705882353
2024,488466.65836653387
